ga:sourceMedium,ga:pageTitle,ga:users,ga:bounceRate,ga:pageviews,ga:pageviewsPerSession,ga:avgTimeOnPage
facebook / cpc,"Menteri Agama, Keluarga, dan Puluhan Artis Antar Sys NS Pulang ke 'Rumah Abadi'",189,0,440,0,17.34624697
facebook / cpc,Aroma Latin di Old Trafford,54,100,431,47.88888889,26.58595642
facebook / cpc,Foto: Para Pemain Nomor 7 di MU pada Era Premier League,54,0,431,0,15.91415313
facebook / cpc,"100 Hari Kepemimpinan Anies-Sandi, Ini Kebijakannya",45,0,422,0,32.6460396
facebook / cpc,"Potret Kepanikan Warga Jakarta saat Gempa 6,4 SR",90,100,422,46.88888889,23.69496021
facebook / cpc,Anies Resmikan Pembangunan Rumah DP 0 Pertama di Pondok Kelapa,341,74.28571429,413,1.18,260.4444444
facebook / cpc,Ini Pusat Gempa yang Guncang Jakarta,314,0,413,0,110.27897
facebook / cpc,"Penjelasan BMKG Soal Gempa Banten, Dimutakhirkan Jadi 6,1 SR",332,31.25,413,2.868055556,96.46627566
facebook / cpc,Tangis Haru Iringi Pemakaman Sys NS,314,0,404,22.44444444,80.41967213
facebook / cpc,"Usai Dibekuk Swansea, Liverpool Juga Dihajar di Dunia Maya",99,50,404,22.44444444,23.35190616
facebook / cpc,2 Pelajar Semarang Ini Masih Sekolah Usai Bunuh Driver Taksi Online,341,100,395,7.314814815,158.9055794
facebook / cpc,Andi Narogong Ungkap Peran Novanto cs di Proyek e-KTP,278,0,395,0,229.8692308
facebook / cpc,Komentar : 2 Pelajar di Yogya Lempar Batu ke Mobil hingga Tewaskan Pengemudinya,377,100,395,21.94444444,46.88095238
facebook / cpc,Foto: Masjid di Kabupaten Bogor yang Ambruk karena Gempa Banten,117,0,386,42.88888889,48.49363057
facebook / cpc,"Komentar : Antar 'Tuyul', 7 Pengemudi Grab Dibekuk",377,100,386,14.2962963,149.7063492
facebook / cpc,Mereka Menolak Jadi Saksi Meringankan untuk dr Bimanesh-Fredrich,296,83.33333333,377,3.490740741,236.5194175
facebook / cpc,Meme Kocak Sambut Rumah DP Rp 0 Langsung Ramai Bertebaran,27,100,368,40.88888889,12.87714286
facebook / cpc,"Nissan Almera Dipilih Jadi Mobil Kepolisian RI, Ini Kata Nissan",332,0,368,0,79.48927039
facebook / cpc,Bajak-bajakan Pemain Antarklub Eropa,72,0,359,19.94444444,18.04024768
facebook / cpc,Ini Alasan 2 Siswa SMK Bunuh dan Rampok Driver Taksi di Semarang,323,50,350,9.722222222,170.8645418
facebook / cpc,"Merasa Tertipu Gatot Brajamusti, Reza Artamevia Minta Maaf kepada Keluarga",81,0,350,0,18.55732484
facebook / cpc,Foto: Gus Ipul Diapit Via Vallen-Nella Kharisma,18,100,341,37.88888889,14.71084337
facebook / cpc,"Miris Tapi Kocak, Mereka Tertipu Belanja Online",27,0,341,0,14.48093842
facebook / cpc,Penampakan Zeni TNI AD yang Tembus Hutan Bangun Trans Papua,144,0,341,0,18.66932271
facebook / cpc,Daffa Wardhana Nilai Sys NS Orangtua yang Selalu Bawa Hal Positif,117,0,332,0,6.058823529
